,地区,地区简称,现存确诊,累计确诊,治愈,死亡
0,台湾,台湾,2230,15571,12555,786
1,云南省,云南,308,721,411,2
2,江苏省,江苏,85,829,744,0
3,香港,香港,68,11978,11698,212
4,广东省,广东,66,2853,2779,8
5,上海市,上海,59,2287,2221,7
6,福建省,福建,45,724,678,1
7,四川省,四川,38,1139,1098,3
8,陕西省,陕西,24,655,628,3
9,湖北省,湖北,19,68194,63663,4512
10,浙江省,浙江,19,1393,1373,1
11,河南省,河南,17,1330,1291,22
12,天津市,天津,17,418,398,3
13,湖南省,湖南,14,1071,1053,4
14,北京市,北京,11,1086,1066,9
15,内蒙古自治区,内蒙古,7,403,395,1
16,辽宁省,辽宁,6,433,425,2
17,澳门,澳门,6,59,53,0
18,重庆市,重庆,3,601,592,6
19,甘肃省,甘肃,3,198,193,2
20,广西壮族自治区,广西,2,277,273,2
21,海南省,海南,1,188,181,6
22,宁夏回族自治区,宁夏,1,76,75,0
23,黑龙江省,黑龙江,0,1612,1599,13
24,河北省,河北,0,1317,1310,7
25,安徽省,安徽,0,1008,1002,6
26,新疆维吾尔自治区,新疆,0,980,977,3
27,江西省,江西,0,937,936,1
28,山东省,山东,0,883,876,7
29,吉林省,吉林,0,573,570,3
30,山西省,山西,0,253,253,0
31,贵州省,贵州,0,147,145,2
32,青海省,青海,0,18,18,0
33,西藏自治区,西藏,0,1,1,0
